id,name,aliases,origin,region,target_countries,target_industries,update_time,description_zh,ioc_count,event_count
25,蔓灵花,APT-C-08 | Bitter | BITTER | APT-Q-37 | TA397 | T-APT-17 | G1002,印度,南亚,巴基斯坦 | 中国 | 沙特阿拉伯 | 孟加拉国,政府,2025/11/7,蔓灵花（BITTER）是南亚背景的高级持续性威胁组织，自2013年11月起活跃，主要针对中国及巴基斯坦的政府、军工、核电、电力及进出口相关部门进行网络攻击，目标窃取敏感信息。其攻击手法包括鱼叉钓鱼邮件投递恶意CHM文件、利用Office漏洞文档（CVE-2012-0158、CVE-2017-11882等）、后续下载MSI文件安装远控程序wmRAT等工具。组织与南亚其他攻击组织（如摩诃草Patchwork）存在关联，近年进一步发展C#编写的远控程序，并具有中文语境化操作特征（如回连域名包含中文拼音）。,100,30
26,黄金雕,APT-C-34 | DustSquad | G0133 | APT-Q-90 | Golden Falcon | Nomadic Octopus,哈萨克斯坦,东欧,俄罗斯 | 阿富汗,政府 | 外交,2019/10/20,黄金雕（APT-C-34）是高度组织化的网络攻击组织，主要活跃于中亚地区，尤其集中在哈萨克斯坦。该组织使用社会工程学、物理接触攻击及高端网络军火（如HackingTeam和NSO技术）进行窃取敏感信息的网络间谍活动。其攻击目标涵盖教育机构、政府机关、科研人员、媒体从业者及宗教人士等多个领域，部分受害者涉及中国背景的合作项目。典型攻击手法包括通过伪装文档诱导鱼叉攻击、物理设备投递恶意程序（如U盘）、利用无线电侦察设备获取信号，以及采购零日漏洞的高级入侵工具。其背后疑似有政府实体支持，与俄语系技术人员存在关联。,0,1
27,透明部落,C-Major | Green Havildar | Mythic Leopard | Barmanou | ProjectM | G0134 | Earth Karkaddan | Opaque Draco | APT36 | Storm-0156 | STEPPY-KAVACH | Copper Fieldstone | APT-C-56 | Operation C-Major | Transparent Tribe | TEMP.Lapis | SideCopy | Side Copy,巴基斯坦,南亚,印度 | 阿富汗,外交,2024/4/10,透明部落是2016年被Proofpoint披露的网络攻击威胁组织，主要针对南亚国家政府、军事机构及相关组织。其攻击手法结合社会工程与恶意软件，通过诱饵文档（DOC/XLS）投放VBA宏，触发CrimsonRAT、PeppyRAT等远控工具窃取信息。2019-2020年活动升级，扩大对阿富汗的攻击范围，包括移动端感染。近期样本展示C2服务器IP（96.47.234.102）通过多端口通信，采用图片文件图标伪装的创新诱骗手段。其组织背景与Gogron Group存在关联。,100,45
28,盲眼鹰,APT-C-36 | TAG-144 | APT-Q-98 | G0099 | BlindEagle | AguilaCiega,未知,南美洲,哥伦比亚,政府 | 能源 | 金融 | 制造业 | 交通运输,2025/4/25,APT-C-36 是一个疑似南美间谍组织，至少自 2018 年以来一直活跃。该组织主要针对哥伦比亚政府机构以及金融业、石油业和专业制造业的重要企业。,100,20
29,索伦之眼,ProjectSauron | G0041 | Strider | Sauron | APT-C-16,美国,北美洲,俄罗斯 | 中国 | 伊朗 | 比利时 | 瑞典,,2025/4/25,Strider 是一个威胁组织，至少自 2011 年以来一直活跃，其目标是俄罗斯、中国、瑞典、比利时、伊朗和卢旺达的受害者。,100,3
30,摩诃草,Patchwork | Hangover Group | Dropping Elephant | Chinastrats | MONSOON | Operation Hangover,印度,南亚,斯里兰卡 | 日本 | 拉托维亚 | 巴基斯坦 | 挪威 | 韩国 | 英国 | 约旦 | 法国 | 印度尼西亚 | 俄罗斯 | 孟加拉 | 缅甸 | 波兰 | 伊朗 | 泰国 | 印度 | 巴拿马 | 乌克兰 | 新加坡 | 土耳其,政府 | 教育 | 外交,2025/10/21,摩诃草（Patchwork）是一个网络间谍组织，首次被发现于 2015 年 12 月。虽然该组织的归属尚未明确，但间接证据表明该组织可能是亲印度或印度实体。 Patchwork 已被视为针对与外交和政府机构相关的行业。该小组使用的大部分代码都是从在线论坛复制和粘贴的。 2018 年 3 月和 4 月，Patchwork 还被发现针对美国智库组织开展了鱼叉式网络钓鱼活动。,100,37
31,方程式,Platinum Colony | G0020 | Five Eyes | Equation Group | EQGRP | Tilded Team | Equation | APT-C-40 | NSA,美国,北美洲,苏丹 | 约旦 | 叙利亚 | 土耳其 | 奥地利 | 韩国 | 日本 | 法国 | 波兰 | 西班牙 | 黎巴嫩,娱乐业 | 服务业 | 金融 | 服务业 | 制造业,2025/10/20,该组织被广泛认为是全球最专业的网络攻击组织之一，活跃时间长达20年（首次观察到自2001年）。其技术特点包括复杂的攻击组件库、高度模糊处理能力、硬盘固件植入能力以及远程控制系统。主要攻击手段包括双重渗透（DoubleFantasy前置组件+后续注入更复杂模块）、硬盘固件重编程（如Fanny和GrayFish模块）、以流氓实体伪装的恶意代码（如DanderSpritz平台）、以及通过篡改光盘/数据流传递恶意负载。受害者遍布至少42个国家，行业覆盖能源、政府、金融等敏感领域。2015年卡巴斯基实验室首次公开其存在，并推测其与美国NSA存在关联。,100,4
32,Darkhotel,寄生兽 | Purple Pygmy | Inexsmar | TieOnJoe | Luder | Fallout Team | Tapaoux | Nemim | Zigzag Hail | APT-C-06 | Karba | DUBNIUM,韩国,东亚,美国 | 孟加拉国 | 中国 | 阿拉伯联合酋长国 | 印度 | 莫桑比克 | 德国 | 英国 | 泰国 | 日本 | 朝鲜 | 俄罗斯,零售/餐饮,2024/1/8,Darkhotel 是一个疑似韩国威胁组织，至少自 2004 年以来主要针对东亚地区的受害者。该组织的名称来源于通过酒店互联网针对旅行高管和其他特定客人进行的网络间谍活动。 Darkhotel 还开展鱼叉式网络钓鱼活动，并通过点对点和文件共享网络感染受害者。,100,13
33,APT33,HOLMIUM | Elfin | Peach Sandstorm,伊朗,中东,美国 | 韩国 | 沙特阿拉伯,能源 | 航空航天,2024/4/11,APT33 是一个疑似伊朗威胁组织，至少从 2013 年起就开始开展活动。该组织的目标是美国、沙特阿拉伯和韩国多个行业的组织，尤其对航空和能源领域感兴趣。,100,11
34,Magic Hound,TA453 | COBALT ILLUSION | Charming Kitten | ITG18 | Phosphorus | Newscaster | APT35 | Mint Sandstorm,伊朗,中东,,政府 | 军事 | 医疗 | 教育 | 媒体,2024/11/17,Magic Hound 是一个由伊朗支持的威胁组织，可能代表伊斯兰革命卫队进行长期、资源密集型的网络间谍活动。至少自 2014 年以来，他们通过复杂的社会工程活动，针对欧洲、美国和中东的政府和军??事人员、学者、记者以及世界卫生组织 (WHO) 等组织。,100,9
35,Agrius,Pink Sandstorm | AMERICIUM | Agonizing Serpens | BlackShadow,伊朗,中东,以色列,政府 | 交通运输,2024/8/29,Agrius 是自 2020 年以来活跃的伊朗威胁行为者，因在中东（特别是以色列目标）实施一系列勒索软件和擦除操作而闻名。公开报道将阿格里乌斯与伊朗情报和安全部 (MOIS) 联系起来。,18,2
36,MuddyWater,Earth Vetala | MERCURY | Static Kitten | Seedworm | TEMP.Zagros | Mango Sandstorm | TA450,伊朗,中东,,政府 | 电信,2025/10/22,MuddyWater 是一个网络间谍组织，被评估为伊朗情报与安全部 (MOIS) 的下属单位。至少自 2017 年以来，MuddyWater 已针对中东、亚洲、非洲、欧洲和北美的一系列跨行业政府和私人组织，包括电信、地方政府、国防以及石油和天然气组织。,100,34
37,OilRig,COBALT GYPSY | IRN2 | APT34 | Helix Kitten | Evasive Serpens | Hazel Sandstorm | EUROPIUM | ITG13 | Earth Simnavaz | Crambus | TA452,伊朗,中东,,政府 | 金融 | 电信,2025/1/16,OilRig 是一个疑似伊朗威胁组织，至少自 2014 年以来一直以中东和国际受害者为目标。该组织的目标包括金融、政府、能源、化工和电信等多个行业。该组织似乎利用组织之间的信任关系来攻击其主要目标，从而进行供应链攻击。该组织代表伊朗政府根据基础设施细节开展工作，其中包括提及伊朗、伊朗基础设施的使用以及符合民族国家利益的目标。,100,8
38,PROMETHIUM,StrongPity,未知,未知,土耳其,,2024/4/19,PROMETHIUM 是一个专注于间谍活动的活动组织，至少自 2012 年以来一直活跃。该组织在全球范围内开展行动，重点关注土耳其目标。由于受害者和活动特征重叠，PROMETHIUM 与另一个名为 NEODYMIUM 的活动组织有相似之处。,100,4
39,Stealth Falcon,,未知,未知,阿联酋,政府 | 媒体,2025/4/25,Stealth Falcon 是一个威胁组织，至少自 2012 年以来一直对阿联酋记者、活动人士和持不同政见者进行有针对性的间谍软件攻击。间接证据表明该组织与阿拉伯联合酋长国 (UAE) 政府之间可能存在联系，但这一点尚未得到证实。,52,3
40,APT28,IRON TWILIGHT | SNAKEMACKEREL | Swallowtail | Group 74 | Sednit | Sofacy | Pawn Storm | Fancy Bear | STRONTIUM | Tsar Team | Threat Group-4127 | TG-4127 | Forest Blizzard | FROZENLAKE | GruesomeLarch,俄罗斯,东欧,,军事 | 能源 | 交通运输,2025/3/10,APT28 是一个威胁组织，归属于俄罗斯总参谋部主要情报局 (GRU) 第 85 主要特种服务中心 (GTsSS) 军事单位 26165。该组织至少自 2004 年以来一直活跃。据报道，APT28 在 2016 年破坏了希拉里·克林顿竞选团队、民主党全国委员会和民主党国会竞选委员会，试图干扰美国总统选举。 2018 年，美国起诉了 5 名与 APT28 有关联的 GRU 第 26165 部队军官，他们在 2014 年至 2018 年期间进行了网络行动（包括近距离访问行动）。,100,53
41,APT29,IRON RITUAL | IRON HEMLOCK | NobleBaron | Dark Halo | NOBELIUM | UNC2452 | YTTRIUM | The Dukes | Cozy Bear | CozyDuke | SolarStorm | Blue Kitsune | UNC3524 | Midnight Blizzard,俄罗斯,东欧,,政府 | 教育 | 交通运输,2025/4/4,APT29 是由俄罗斯对外情报局 (SVR) 发起的威胁组织。它们至少从 2008 年开始运作，通常针对欧洲和北约成员国的政府网络、研究机构和智囊团。据报道，APT29 从 2015 年夏天开始就入侵了民主党全国委员会。2021 年 4 月，美国和英国政府将 SolarWinds 的入侵归咎于 SVR；公开声明包括对 APT29、Cozy Bear 和 The Dukes 的引用。行业报告还将参与此活动的参与者称为 UNC2452、NOBELIUM...,100,28
42,Sandworm Team,ELECTRUM | Telebots | IRON VIKING | BlackEnergy (Group) | Quedagh | Voodoo Bear | IRIDIUM | Seashell Blizzard | FROZENBARENTS | APT44,俄罗斯,东欧,格鲁吉亚,政府 | 军事,2024/12/4,Sandworm Team 是一个破坏性威胁组织，归属于俄罗斯总参谋部主要情报局 (GRU) 主要特种技术中心 (GTsST) 74455 军事单位。该组织至少自 2009 年以来一直活跃。2020 年 10 月，美国起诉了与 Sandworm Team 有关联的六名 GRU 74455 部队军官，他们从事以下网络行动：2015 年和 2016 年针对乌克兰电力公司和政府的攻击组织、2017 年全球 NotPetya 攻击、针对 2017 年法国总统竞选的攻击、2018 年奥林匹克毁灭者攻击……,100,19
43,TRITON,TEMP.Veles | Xenotime | XENOTIME | TRISIS | G0088 | ATK 91 | HATMAN,俄罗斯,东欧,叙利亚 | 美国 | 黎巴嫩 | 沙特阿拉伯,工控系统,2024/4/17,TRITON是一个总部位于俄罗斯的威胁组织，首次发现于2014年，其目标是关键基础设施。基础设施网络安全服务商Dragos也称为XENOTIME。TRITON攻击的主要目标是工业控制系统（ICS）中的安全仪表系统（SIS）控制器，通过Tricon安全仪表系统所使用的TriStation通信协议进行攻击，植入固件更改最终控制元件的逻辑。专注于物理破坏和长期持续性攻击。其使用TRISIS和凭证窃取。2014年被披露使用TRISIS 恶意软件。2019年Dragos 确定 Xenotime 活动小组将其目标从石油和天然气扩展到电力行业。,65,3
44,Turla,IRON HUNTER | Group 88 | Waterbug | WhiteBear | Snake | Krypton | Venomous Bear | Secret Blizzard | BELUGASTURGEON,俄罗斯,东欧,乌克兰 | 墨西哥 | 新西兰 | 韩国 | 巴西 | 中国 | 德国 | 日本 | 土耳其 | 俄罗斯,政府 | 军事 | 医疗 | 教育,2024/6/26,Turla 是一个网络间谍威胁组织，归属于俄罗斯联邦安全局 (FSB)。至少自 2004 年以来，它们已经在 50 多个国家/地区危害了受害者，涉及多个行业，包括政府、大使馆、军队、教育、研究和制药公司。 Turla 以开展水坑和鱼叉式网络钓鱼活动以及利用内部工具和恶意软件（例如 Uroburos）而闻名。,100,16
45,Dragonfly,TEMP.Isotope | DYMALLOY | Berserk Bear | TG-4192 | Crouching Yeti | IRON LIBERTY | Energetic Bear | Ghost Blizzard | BROMINE,俄罗斯,东欧,罗马尼亚 | 加拿大 | 美国 | 挪威 | 法国 | 波兰 | 希腊 | 乌克兰 | 土耳其 | 意大利 | 德国 | 英国 | 西班牙 | 俄罗斯 | 塞尔维亚,政府 | 航空航天 | 工控系统,2024/1/8,Dragonfly 是一个网络间谍组织，归属于俄罗斯联邦安全局 (FSB) Center 16。Dragonfly 至少自 2010 年以来一直活跃，通过供应链、鱼叉式网络钓鱼和路过式妥协攻击，针对全球范围内的国防和航空公司、政府实体、与工业控制系统相关的公司以及关键基础设施部门。,100,6
46,Gamaredon Group,IRON TILDEN | Primitive Bear | ACTINIUM | Armageddon | Shuckworm | DEV-0157 | Aqua Blizzard,俄罗斯,东欧,乌克兰,政府 | 军事 | 非政府组织 | 交通运输,2025/10/24,Gamaredon Group 是一个疑似俄罗斯网络间谍组织，至少自 2013 年以来一直以乌克兰的军事、执法、司法、非营利组织和非政府组织为目标。Gamaredon Group 这个名称源自早期活动中发现的“Armageddon”一词的拼写错误。 2021 年 11 月，乌克兰政府公开将 Gamaredon 集团归咎于俄罗斯联邦安全局 (FSB) 18 中心，这一评估后来得到了多个独立网络安全研究人员的支持。,100,36
47,El Machete,G0095 | APT-Q-99 | Machete | APT-C-43,未知,南美洲,俄罗斯 | 委内瑞拉 | 西班牙,政府 | 军事 | 电信,2025/4/25,Machete 是一个疑似西班牙语网络间谍组织，至少自 2010 年以来一直活跃。该组织的活动主要集中在拉丁美洲，特别是委内瑞拉，但也在美国、欧洲、俄罗斯和亚洲部分地区进行活动。 Machete 通常针对知名组织，例如政府机构、情报部门、军事单位以及电信和电力公司。,100,2
48,PLATINUM,G0068 | ATK 33 | Platinum | 白金 | 潜行者 | TwoForOne,未知,东南亚,马来西亚 | 新加坡 | 南亚 | 印度尼西亚 | 印度 | 中国 | 泰国 | 越南 | 东南亚,政府,2025/4/25,PLATINUM 是一个活动组织，至少从 2009 年起就以受害者为目标。该组织重点关注与南亚和东南亚政府和相关组织相关的目标。,18,1
49,海莲花,Cobalt Kitty | APT 32 | SectorF01 | Lotus Bane | ATK 17 | Canvas Cyclone | APT-C-00 | Ocean Buffalo | APT-LY-100 | Pond Loach | BISMUTH | Tin Woodlawn | OceanLotus | Bismuth | G0050 | SeaLotus,越南,东南亚,菲律宾 | 柬埔寨 | 老挝,政府 | 媒体,2024/4/17,APT32 是一个疑似总部位于越南的威胁组织，至少自 2014 年以来一直活跃。该组织的目标是多个私营行业以及外国政府、持不同政见者和记者，重点关注越南、菲律宾、老挝和柬埔寨等东南亚国家。他们广泛使用战略性网络妥协来危害受害者。,100,29
50,SideCopy,Operation SideCopy | G1008 | White Dev 55 | UNC2269 | Mocking Draco | TAG-140,印度,南亚,巴基斯坦,政府,2025/4/16,SideCopy是南亚背景的APT组织，以模仿Sidewinder的攻击手法得名，主要针对印度政府、国防、军事机构及教育相关领域进行网络攻击。其攻击行为始于2019年初，组织与巴基斯坦APT组织TransparentTribe存在基础设施重叠。主要攻击手法包括钓鱼邮件、恶意LNK文件、利用WinRAR漏洞（CVE-2023-38831）、入侵合法网站托管恶意载荷，以及部署多种远控木马（如CetaRAT、ReverseRAT、Allakore RAT、FetaRAT等）。其武器库持续迭代，对抗杀毒软件能力逐步增强。典型攻击事件包括2020年的行动侧Copy、2021年针对印度电力公司的攻击、2023年利用CVE-2023-38831漏洞的攻击活动等。,100,22
51,Sidewinder,HN2 | Rattlesnake | 响尾蛇 | APT-Q-39 | GroupA21 | Hardcore Nationalist | SideWinder | T-APT-04 | BabyElephant | APT-C-17 | Razor Tiger,印度,南亚,巴基斯坦 | 中国 | 阿富汗 | 尼泊尔 | 越南,政府 | 军事,2024/4/11,Sidewinder 是一个疑似印度威胁组织，至少自 2012 年以来一直活跃。据观察，他们的目标是整个亚洲的政府、军队和商业实体，主要集中在巴基斯坦、中国、尼泊尔和阿富汗。,100,41
52,APT38,NICKEL GLADSTONE | BeagleBoyz | Bluenoroff | Stardust Chollima | Sapphire Sleet | COPERNICIUM,朝鲜,东亚,孟加拉国 | 科威特 | 韩国 | 印度 | 巴拿马 | 越南 | 美国 | 英国 | 中国 | 泰国 | 日本 | 俄罗斯,金融 | 加密货币 | 交通运输,2025/1/22,APT38 是朝鲜国家支持的威胁组织，专门从事金融网络运营；它被归因于侦察总局。 APT38 至少自 2014 年起就开始活跃，其目标是全球至少 38 个国家的银行、金融机构、赌场、加密货币交易所、SWIFT 系统端点和 ATM。重大行动包括 2016 年孟加拉国银行抢劫案，其中 APT38 窃取了 8100 万美元，以及针对 Bancomext 和 Banco de Chile 的攻击；他们的一些攻击具有破坏性。众所周知，朝鲜团体的定义...,100,2
53,Kimsuky,Black Banshee | Velvet Chollima | Emerald Sleet | THALLIUM | APT43 | TA427 | Springtail,朝鲜,东亚,美国 | 日本 | 韩国 | 俄罗斯,政府 | 国防 | 能源 | 教育 | 制造业,2025/11/12,"Kimsuky 是一个总部位于朝鲜的网络间谍组织，至少自 2012 年以来一直活跃。该组织最初的目标是韩国政府机构、智库和各个领域的主题专家。其业务范围扩大到包括联合国以及美国、日本、俄罗斯和欧洲的政府、教育、商业服务和制造部门的组织。 Kimsuky has focused collection on foreign policy and national security issues tied to the Korean Peninsula, nuclear policy, and sanctions.其业务与其他业务重叠...",100,64
54,APT37,InkySquid | ScarCruft | Reaper | Group123 | TEMP.Reaper | Ricochet Chollima,朝鲜,东亚,日本 | 韩国 | 印度 | 俄罗斯 | 中国 | 越南 | 科威特 | 罗马尼亚 | 尼泊尔,交通运输,2024/11/17,APT37 是朝鲜国家支持的网络间谍组织，至少自 2012 年以来一直活跃。该组织的目标受害者主要在韩国，但也包括日本、越南、俄罗斯、尼泊尔、中国、印度、罗马尼亚、科威特和中东其他地区。 APT37 还与 2016 年至 2018 年期间的以下活动相关：黎明行动、埃里伯斯行动、黄金时间、邪恶新年、你快乐吗？、FreeMilk、朝鲜人权和 2018 年邪恶新年。众所周知，朝鲜组织的定义有很大的重叠，一些安全研究人员报告称，所有...,100,38
55,Lazarus Group,Labyrinth Chollima | HIDDEN COBRA | Guardians of Peace | ZINC | NICKEL ACADEMY | Diamond Sleet,朝鲜,东亚,伊朗 | 瑞典 | 印度 | 加蓬 | 东欧 | 美国 | 印度尼西亚 | 智利 | 也门 | 新加坡 | 斯里兰卡 | 芬兰 | 马来西亚 | 巴西 | 乌克兰 | 瑞士 | 中国台湾 | 墨西哥 | 卡塔尔,金融 | 交通运输,2025/10/24,Lazarus Group 是朝鲜国家资助的网络威胁组织，隶属于侦察总局 (RGB)。 Lazarus 集团至少从 2009 年起就一直活跃，据报道对 2014 年 11 月对索尼影视娱乐公司进行的破坏性擦除器攻击负责，Novetta 认为该攻击是“百视达行动”的一部分。 Lazarus Group 使用的恶意软件与其他报告的活动相关，包括“火焰行动”、“1 号行动”、“特洛伊行动”、“黑暗首尔”和“十天雨”。朝鲜的网络行动表现出一致的适应、形成和……模式,100,68
56,YoroTrooper,Hydra Saiga | APT-LY-1006 | Silent Lynx | WarSunflower,哈萨克斯坦,东欧,阿塞拜疆 | 吉尔吉斯斯坦 | 土库曼斯坦 | 埃及 | 格鲁吉亚 | 塔吉克斯坦 | 土耳其,公共管理 | 社会保障 | 社会组织 | 采矿业 | 供应业 | 金融,2026/2/24,YoroTrooper是一个具有国家和政治背景支持的APT组织，长期活跃于中亚及周边地区，以高频率、高技术手段针对政府机构、外交部门和关键基础设施实施定向网络间谍活动。该组织自2024年起开始被公开追踪，初期主要通过伪造政府文件的钓鱼邮件传播恶意软件，利用Base64编码的PowerShell脚本和C++加载器实现持久化控制。2025年6月至10月期间，组织发起多轮攻击，分别以‘中国—中亚峰会’和‘俄阿战略协作’为掩护主题，使用GitHub托管恶意载荷，并通过LNK文件触发反向Shell连接至C2服务器。其攻击链包括多阶段下载、计划任务持久化、Ligolo-ng隧道工具横向移动等复杂操作。在2025年11月，该组织被确认与Silent Lynx、Cavalry Werewolf等集群存在重叠行为，并被Seqrite Labs归入同一威胁实体。,100,2
57,HEXANE,Lyceum | Siamesekitten | Spirlin,未知,未知,沙特阿拉伯 | 以色列 | 科威特 | 摩洛哥,电信 | 航空航天,2024/8/14,HEXANE 是一个网络间谍威胁组织，至少自 2017 年以来一直以石油和天然气、电信、航空和互联网服务提供商组织为目标。目标公司位于中东和非洲，包括以色列、沙特阿拉伯、科威特、摩洛哥和突尼斯。 HEXANE 的 TTP 看起来与 APT33 和 OilRig 类似，但由于受害者和工具的差异，它被作为一个单独的实体进行跟踪。,100,5
58,RusticWeb,Operation RusticWeb,巴基斯坦,南亚,印度,公共管理 | 社会保障 | 社会组织,2024/7/25,RusticWeb是一支与巴基斯坦APT组织相关联的网络攻击团队，主要针对印度政府、军事及相关关键领域实体展开复杂攻击活动。其攻击手法结合钓鱼、0day漏洞利用、自研网页漏洞等，恶意软件家族采用Rust语言开发。其攻击基础设施与Transparent Tribe及SideCopy存在高度关联，可能作为APT36的分支团队运作。,52,1
